,hospital_beds_per_thousand,date,location,cty_id
244,0.5,2019-12-31,Afghanistan,2
245,0.5,2020-01-01,Afghanistan,2
246,0.5,2020-01-02,Afghanistan,2
247,0.5,2020-01-03,Afghanistan,2
248,0.5,2020-01-04,Afghanistan,2
249,0.5,2020-01-05,Afghanistan,2
250,0.5,2020-01-06,Afghanistan,2
251,0.5,2020-01-07,Afghanistan,2
252,0.5,2020-01-08,Afghanistan,2
253,0.5,2020-01-09,Afghanistan,2
254,0.5,2020-01-10,Afghanistan,2
255,0.5,2020-01-11,Afghanistan,2
256,0.5,2020-01-12,Afghanistan,2
257,0.5,2020-01-13,Afghanistan,2
258,0.5,2020-01-14,Afghanistan,2
259,0.5,2020-01-15,Afghanistan,2
260,0.5,2020-01-16,Afghanistan,2
261,0.5,2020-01-17,Afghanistan,2
262,0.5,2020-01-18,Afghanistan,2
263,0.5,2020-01-19,Afghanistan,2
264,0.5,2020-01-20,Afghanistan,2
265,0.5,2020-01-21,Afghanistan,2
266,0.5,2020-01-22,Afghanistan,2
267,0.5,2020-01-23,Afghanistan,2
268,0.5,2020-01-24,Afghanistan,2
269,0.5,2020-01-25,Afghanistan,2
270,0.5,2020-01-26,Afghanistan,2
271,0.5,2020-01-27,Afghanistan,2
272,0.5,2020-01-28,Afghanistan,2
273,0.5,2020-01-29,Afghanistan,2
274,0.5,2020-01-30,Afghanistan,2
275,0.5,2020-01-31,Afghanistan,2
276,0.5,2020-02-01,Afghanistan,2
277,0.5,2020-02-02,Afghanistan,2
278,0.5,2020-02-03,Afghanistan,2
279,0.5,2020-02-04,Afghanistan,2
280,0.5,2020-02-05,Afghanistan,2
281,0.5,2020-02-06,Afghanistan,2
282,0.5,2020-02-07,Afghanistan,2
283,0.5,2020-02-08,Afghanistan,2
284,0.5,2020-02-09,Afghanistan,2
285,0.5,2020-02-10,Afghanistan,2
286,0.5,2020-02-11,Afghanistan,2
287,0.5,2020-02-12,Afghanistan,2
288,0.5,2020-02-13,Afghanistan,2
289,0.5,2020-02-14,Afghanistan,2
290,0.5,2020-02-15,Afghanistan,2
291,0.5,2020-02-16,Afghanistan,2
292,0.5,2020-02-17,Afghanistan,2
293,0.5,2020-02-18,Afghanistan,2
294,0.5,2020-02-19,Afghanistan,2
295,0.5,2020-02-20,Afghanistan,2
296,0.5,2020-02-21,Afghanistan,2
297,0.5,2020-02-22,Afghanistan,2
298,0.5,2020-02-23,Afghanistan,2
299,0.5,2020-02-24,Afghanistan,2
300,0.5,2020-02-25,Afghanistan,2
301,0.5,2020-02-26,Afghanistan,2
302,0.5,2020-02-27,Afghanistan,2
303,0.5,2020-02-28,Afghanistan,2
304,0.5,2020-02-29,Afghanistan,2
305,0.5,2020-03-01,Afghanistan,2
306,0.5,2020-03-02,Afghanistan,2
