,stringency_index,date,location,cty_id
0,0.0,2020-03-13,Aruba,1
1,33.33,2020-03-19,Aruba,1
2,33.33,2020-03-20,Aruba,1
3,44.44,2020-03-21,Aruba,1
4,44.44,2020-03-22,Aruba,1
5,44.44,2020-03-23,Aruba,1
6,44.44,2020-03-24,Aruba,1
7,44.44,2020-03-25,Aruba,1
8,44.44,2020-03-26,Aruba,1
9,44.44,2020-03-27,Aruba,1
10,44.44,2020-03-28,Aruba,1
11,85.19,2020-03-29,Aruba,1
12,85.19,2020-03-30,Aruba,1
13,85.19,2020-03-31,Aruba,1
14,85.19,2020-04-01,Aruba,1
15,85.19,2020-04-02,Aruba,1
16,85.19,2020-04-03,Aruba,1
17,85.19,2020-04-04,Aruba,1
18,85.19,2020-04-05,Aruba,1
19,85.19,2020-04-06,Aruba,1
20,85.19,2020-04-07,Aruba,1
21,85.19,2020-04-08,Aruba,1
22,85.19,2020-04-09,Aruba,1
23,88.89,2020-04-10,Aruba,1
24,85.19,2020-04-11,Aruba,1
25,88.89,2020-04-12,Aruba,1
26,88.89,2020-04-13,Aruba,1
27,85.19,2020-04-14,Aruba,1
28,85.19,2020-04-15,Aruba,1
29,85.19,2020-04-16,Aruba,1
30,85.19,2020-04-17,Aruba,1
31,85.19,2020-04-18,Aruba,1
32,85.19,2020-04-19,Aruba,1
33,85.19,2020-04-20,Aruba,1
34,85.19,2020-04-21,Aruba,1
35,85.19,2020-04-22,Aruba,1
36,85.19,2020-04-23,Aruba,1
37,85.19,2020-04-24,Aruba,1
38,85.19,2020-04-25,Aruba,1
39,85.19,2020-04-26,Aruba,1
40,85.19,2020-04-27,Aruba,1
41,85.19,2020-04-28,Aruba,1
42,85.19,2020-04-29,Aruba,1
43,85.19,2020-04-30,Aruba,1
44,85.19,2020-05-01,Aruba,1
45,85.19,2020-05-02,Aruba,1
46,85.19,2020-05-03,Aruba,1
47,81.48,2020-05-04,Aruba,1
48,81.48,2020-05-05,Aruba,1
49,81.48,2020-05-06,Aruba,1
50,81.48,2020-05-07,Aruba,1
51,81.48,2020-05-08,Aruba,1
52,81.48,2020-05-09,Aruba,1
53,81.48,2020-05-10,Aruba,1
54,81.48,2020-05-11,Aruba,1
55,81.48,2020-05-12,Aruba,1
56,81.48,2020-05-13,Aruba,1
57,81.48,2020-05-14,Aruba,1
58,81.48,2020-05-15,Aruba,1
59,81.48,2020-05-16,Aruba,1
60,81.48,2020-05-17,Aruba,1
61,59.26,2020-05-18,Aruba,1
62,59.26,2020-05-19,Aruba,1
63,59.26,2020-05-20,Aruba,1
64,59.26,2020-05-21,Aruba,1
65,59.26,2020-05-22,Aruba,1
66,59.26,2020-05-23,Aruba,1
67,59.26,2020-05-24,Aruba,1
68,59.26,2020-05-25,Aruba,1
69,59.26,2020-05-26,Aruba,1
70,59.26,2020-05-27,Aruba,1
71,55.56,2020-05-28,Aruba,1
72,55.56,2020-05-29,Aruba,1
73,55.56,2020-05-30,Aruba,1
74,50.0,2020-05-31,Aruba,1
75,50.0,2020-06-01,Aruba,1
76,50.0,2020-06-02,Aruba,1
77,50.0,2020-06-03,Aruba,1
78,50.0,2020-06-04,Aruba,1
79,50.0,2020-06-05,Aruba,1
80,50.0,2020-06-06,Aruba,1
81,50.0,2020-06-07,Aruba,1
82,50.0,2020-06-08,Aruba,1
83,50.0,2020-06-09,Aruba,1
84,43.52,2020-06-10,Aruba,1
85,43.52,2020-06-11,Aruba,1
86,43.52,2020-06-12,Aruba,1
87,43.52,2020-06-13,Aruba,1
88,43.52,2020-06-14,Aruba,1
89,43.52,2020-06-15,Aruba,1
90,43.52,2020-06-16,Aruba,1
91,43.52,2020-06-17,Aruba,1
92,43.52,2020-06-18,Aruba,1
93,43.52,2020-06-19,Aruba,1
94,43.52,2020-06-20,Aruba,1
95,43.52,2020-06-21,Aruba,1
96,43.52,2020-06-22,Aruba,1
97,43.52,2020-06-23,Aruba,1
98,43.52,2020-06-24,Aruba,1
99,43.52,2020-06-25,Aruba,1
100,43.52,2020-06-26,Aruba,1
101,43.52,2020-06-27,Aruba,1
102,43.52,2020-06-28,Aruba,1
103,43.52,2020-06-29,Aruba,1
104,43.52,2020-06-30,Aruba,1
105,43.52,2020-07-01,Aruba,1
106,43.52,2020-07-02,Aruba,1
107,43.52,2020-07-03,Aruba,1
108,43.52,2020-07-04,Aruba,1
109,43.52,2020-07-05,Aruba,1
110,43.52,2020-07-06,Aruba,1
111,43.52,2020-07-07,Aruba,1
112,43.52,2020-07-08,Aruba,1
113,43.52,2020-07-09,Aruba,1
114,43.52,2020-07-10,Aruba,1
115,43.52,2020-07-11,Aruba,1
116,43.52,2020-07-12,Aruba,1
117,43.52,2020-07-13,Aruba,1
118,43.52,2020-07-14,Aruba,1
119,43.52,2020-07-15,Aruba,1
120,43.52,2020-07-16,Aruba,1
121,43.52,2020-07-17,Aruba,1
122,43.52,2020-07-18,Aruba,1
